id;tipo;monto;fecha_movimiento;fecha_registro;fecha_actualizacion;descripcion
1;GASTO;27225.12;2025-12-02T09:18:58;2025-12-02T04:11:36;2025-12-02T14:14:40;augment
2;INGRESO;31993.29;2025-12-02T19:08:25;2025-12-02T09:03:54;2025-12-02T18:59:19;dispose devastation excepting
3;GASTO;26865.2;2025-12-02T19:43:00;2025-12-02T15:26:28;2025-12-02T02:53:58;understanding
4;GASTO;10297.99;2025-12-02T17:19:19;2025-12-02T03:18:31;2025-12-02T17:51:36;flight
5;INGRESO;6113.21;2025-12-02T12:26:56;2025-12-02T03:23:04;2025-12-02T06:07:33;whenever
6;INGRESO;20522.97;2025-12-02T08:32:10;2025-12-02T05:34:48;2025-12-02T23:19:12;and notwithstanding
7;INGRESO;14708.05;2025-12-02T11:43:55;2025-12-02T16:50:13;2025-12-02T11:00:57;commandeer until
8;INGRESO;23714.05;2025-12-02T03:37:01;2025-12-02T12:44:19;2025-12-02T19:15:54;following
9;INGRESO;15556.75;2025-12-02T10:44:46;2025-12-02T11:58:50;2025-12-02T19:48:05;every rebuke across
10;GASTO;23837.98;2025-12-02T04:26:29;2025-12-02T04:23:10;2025-12-02T21:11:02;colour beside
